id_pelicula,titulo,fecha,resumen,ranking,id_director
84,Similique at doloremque.,2010-02-09, Eaque possimus totam dolores unde nisi. Quaerat debitis repellendus distinctio harum. Adipisci perferendis facilis doloribus beatae fuga quo. Qui pariatur harum non. Modi beatae incidunt vel eos porro itaque. Nobis cum sint et iusto error eum. Eos quia sapiente non totam.,4.0,2
85,Optio nulla dolor.,2024-03-12, Necessitatibus atque nisi veniam ut ipsa. Magnam asperiores fugit dolore. Nobis veritatis ipsa vel unde. Dolorem fuga possimus asperiores nam ea dolorum. Veniam laudantium corrupti. Consectetur unde inventore. Quaerat fuga harum similique. Unde odit sit unde id quas. Autem velit provident expedita dignissimos aspernatur reprehenderit at.,3.0,2
86,Porro numquam nam.,2006-07-10," Quis voluptatem ducimus cumque iste. Porro enim atque distinctio tempore voluptas. Iste porro aperiam quam. Quo ducimus laborum ratione nesciunt.
Beatae a est ab sit unde. Debitis et quis magni dolores delectus. Maxime unde ipsum temporibus sed at. Quis omnis quaerat beatae. Rerum facere officiis necessitatibus aspernatur.",2.7,5
87,Excepturi ut reiciendis.,2017-02-06, Totam nihil dolor tempore ut. Vel exercitationem tenetur quasi. Est necessitatibus debitis voluptates tempore ullam. Ea provident numquam est asperiores eos praesentium. Nihil tenetur ab esse soluta omnis. Facilis ipsum consectetur modi minus possimus asperiores iusto. Aperiam aliquid adipisci eius.,2.6,8
88,Soluta facilis.,2011-04-22," Aliquid vero quam repudiandae assumenda dolores corporis. Eum adipisci adipisci ipsa debitis amet in architecto. Alias fugiat natus. Officiis doloribus esse veniam autem impedit. Totam est qui sit quo odit quae aliquid. Autem ex ab laborum. Pariatur repellendus modi doloribus perferendis doloremque a.
Quidem amet praesentium. Neque saepe molestias.",3.0,2
89,Veniam totam quibusdam.,2023-10-22, Quasi temporibus accusantium minima impedit nemo maiores. Provident repellendus odit beatae illo consectetur dolores natus. Maiores asperiores quaerat veniam harum earum vitae. Odio libero maxime sunt ut aliquam. Voluptatum quod consectetur dicta repellat. Repellendus quo autem nesciunt consectetur assumenda pariatur.,4.1,16
90,Delectus modi.,2010-01-16, Fugit voluptates omnis. Rem tempore enim ratione. Expedita ipsam commodi odit in. Necessitatibus atque iusto ad eum error. Dolorem tenetur aliquam nulla molestiae aliquam. Consectetur dignissimos quas. Cumque earum mollitia sequi facere. A quo earum tempore voluptate facere. Dolorum laboriosam commodi non.,4.8,14
91,Animi provident.,2007-01-01, Vel minus cumque saepe beatae. Praesentium veritatis officia inventore. Officia officia qui eum consequatur. Tempora ipsum sapiente repellat nobis debitis. Doloribus quis et quas laborum animi odio exercitationem. Explicabo repudiandae vitae eius. Amet quisquam modi excepturi nostrum excepturi. Voluptatibus laudantium vitae.,4.3,12
92,Quia voluptas.,2022-03-30, Deleniti perspiciatis sunt sunt molestiae quas. Occaecati quisquam animi dolores dicta. Omnis aliquid delectus. Blanditiis aspernatur tempora nesciunt tempore quam. Veniam debitis sed ea ipsam debitis itaque. Fugit dolorem eligendi sed odit adipisci vel. Magnam dolorum quas commodi. Blanditiis laudantium sint natus blanditiis laudantium veritatis.,2.4,12
93,Est similique harum.,2020-03-03, Quis vero eveniet sit possimus voluptate impedit. Earum veritatis nostrum magni magni sint. Cupiditate quae deleniti quibusdam magni assumenda eum. Possimus suscipit quibusdam sapiente. Quibusdam reiciendis consequuntur. Veritatis ut error ab. Hic sit modi minima necessitatibus quo. Magni iste nam dolores ea doloribus corporis.,1.9,3
94,Qui esse suscipit.,2006-07-12, Quia ducimus incidunt harum. Provident ab aspernatur asperiores quibusdam. Ea eveniet voluptatibus. Nulla deleniti quia autem at dolorum illo tenetur. Minus atque facere quos. Voluptatum pariatur esse doloremque. Labore ad possimus nostrum quod. Fuga dignissimos tenetur similique.,1.2,1
95,Reiciendis placeat quidem.,2007-07-20, Placeat ex nemo beatae blanditiis saepe autem. Amet aut vel tenetur placeat. Quae ipsa facilis harum quis aperiam necessitatibus dicta. Commodi dolorem molestiae. Perferendis magnam ipsam incidunt quia magni exercitationem. Quod nobis quasi provident.,2.0,20
96,Quos minus aut accusamus.,2021-07-20, A illum recusandae vero quibusdam neque odit. Minus quia harum reprehenderit commodi. Aperiam corrupti numquam mollitia dolorem exercitationem. Voluptatibus mollitia corrupti suscipit at excepturi quis. Placeat reprehenderit at sapiente. Distinctio et unde aut sunt distinctio minus ipsum.,4.0,5
97,Dignissimos tempora.,2011-07-25, Molestiae voluptatibus repudiandae nam nam nobis. Dicta tempora eius molestias quo dignissimos. Odio facilis distinctio laborum quas fugit earum. Ipsam libero laborum harum. Mollitia exercitationem adipisci. Quia repellendus quo rerum natus. Dolorem est totam dolorum sint ea sint. Ratione officiis repellendus optio aut ratione neque. Porro occaecati vitae tenetur.,2.9,8
98,Veritatis laborum delectus.,2021-10-12, Dolorem voluptas vitae incidunt atque. Accusamus quod error. Quas eum laboriosam. Laboriosam magni eligendi laboriosam. Odio ipsa voluptas fugit pariatur quae eum. Occaecati animi doloribus ipsa est ipsa. Dolore minima voluptates dolorem sint laboriosam deleniti.,2.0,12
99,Hic enim.,2019-02-05, Consequuntur id minus iusto aperiam itaque odit. Sequi eos dicta recusandae quos doloremque ducimus. Rem dicta magnam. Dolore repellat voluptatum adipisci necessitatibus recusandae. Iure quas provident. Maiores porro dicta nesciunt architecto accusamus animi.,3.5,12
100,Natus inventore deleniti.,2024-09-29," Modi cum omnis voluptatibus iure. Voluptatem error in reiciendis nulla officia quae. Quaerat facilis necessitatibus. Ullam impedit architecto facere vero. Quas soluta quas. Quos quibusdam at perferendis. Est natus optio. Molestiae incidunt eos occaecati soluta laboriosam.
At repellendus vero. Tempora error velit voluptatibus quas architecto.",2.3,11
999,Cinema Paradiso,1990-08-15, Explicabo ea tenetur blanditiis a iusto. Accusamus enim odit quae repudiandae labore rerum. Dolor earum itaque neque assumenda. Velit in aspernatur modi odit voluptate. Minus non ea optio nostrum accusamus. Facere eveniet illum nam neque sequi. In velit quasi nihil.,4.8,999
